Actual SR Type,Predicted,Data
CAN,HighSpeedDigital_IO,"I'M DESIGNING A CABLE TO INTERFACE TO THE USB-8451 OEM BUT DO NOT HAVE BOARD YET.I NEED TO KNOW EITHER THE PN OF THE 34-PIN CONNECTOR ON THE BOARD OR THE LENGTH OF THE MATING PIN(S) ON THE CONNECTOR.THE MANUAL INFORMS ME THAT I CAN ""USE ANY 34-PIN FEMALE IDC CABLE"" BUT THE  CONNECTOR ON MY ASSEMBLY IS A DIFFERENT SIZE AND THE PINOUT IS COMPLETELY DIFFERENT. I WANT TO USE A TE(TYCO) CRIMP-N-POKE STYLE CONNECTOR WHICH WON'T WORK IF THE PINS IN THE 34-PIN CONNECTOR ARE TOO SHORT.  LABVIEW  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"WE HAVE AN EXE BUILT WITH LABWINDOWS CVI THAT WILL OPEN A CAN PORT, USE IT AT 500KB (WRITE AND READ USING FRAME API), CLOSE PORT, USE IT AT 1000KB (USING FRAME API) AND THEN CLOSE THE PORT. WE USE THIS EXE FOR UP TO FOUR DIFFERENT CAN PORTS AT THE SAME TIME. THE PROBLEM IS THAT WE ONLY GET IT WORKING WELL WITH UP TO 3 CAN PORTS. THE CPU ON THE PC WE ARE USING IS A 4-CORE CPU. IT LOOKS LIKE WHEN WE HAVE ALL 4 CAN PORTS IN USE, THEN ONE CAN PORT SEEMS TO AFFECT THE OTHER ONE SO THAT CAN MIGHT STOP WORKING OR TRANSMIT OR RECEIVE MIGHT BE DELAYED. HAS THE NI CAN DRIVER 2.7.3 BEEN TESTED IN A MULTI-THREADED ENVIRONMENT WITH 4 OR MORE CAN DEVICES CONCURRENTLY BEING USED WITH WRITES AND READS BEING PERFORMED WHILE OTHER DEVICES ARE BEING OPENED AND CLOSED? IS THERE AN UPCOMING RELEASE OF NI CAN DRIVER TO ADDRESS ANY ISSUES? LABWINDOWS/CVI  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"I AM TRYING TO DO A SIMPLE LOOPBACK TEST OF THE CAN PORTS USING LABVIEW.I HAVE TWO PXI-8464/2 CARDS ON THE CHASSIS WITH A NI-8110 CONTROLLER RUNNING PHARLAP.I AM USING NI-CAN BLOCKS IN LABVIEW TO DO A SIMPLE READ/WRITE.I HAVE ALSO DOWNLOADED THE CAN LOOPBACK TEST (PORT-TO-PORT).IN BOTH INSTANCES, I GOT ERROR 0XBFF62023 - THE INTERFACE IS INVALID OR UNKNOWN...NI MAX CAN DETECT THE CONTROLLER AND CAN BOARDS UNDER REMOTE SYSTEMS. LABVIEW  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"I AM USING NI CAN CARDS IN OUR SYSTEM. IF/HOW THE PIN 3 ""CAN REFERENCE GROUND"" IS CONNECTED IN THE TWO WIRE CAN (CAN_H AND CAN_L)? , DONGLIN  TESTSTAND  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"I WOULD LIKE TO READ AND WRITE MULTIPLE ARBITRARY FRAMES ON THE SAME PORT USING THE XNET API.  I HAVE ATTACHED AN EXAMPLE USING THE NI-CAN API (WITH COMPATIBILITY LAYER) THAT I AM TRYING TO UPGRADE TO XNET. LABVIEW  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"HI, I'M DESIGNING AN APPLICATION PCB BOARD WHICH IS CONNECTED TO A USB-8451 OEM BOARD. MY APPLICATION BOARD HAS EXTRA ROOM SO I CAN INSTALL THE 8451 OEM BOARD ON IT. THERE IS AN IDC 34 PIN CONNECTOR ON USB-8451 OEM BOARD, MY QUESTION IS, IS THE 34 PINS OF THE IDC CONNECTOR ACTUALLY GO THROUGH 8451 BOARD SO I CAN SOLDER THEM ONTO MY APPLICATION BOARD? OR I HAVE TO USE AN IDC CONNECTOR ON MY APPLICATION BOARD AND A CABLE TO CONNECT MY APPLICATION BOARD TO THE USB-8451 BOARD? I'M LOOKING FORWARD TO YOUR HELP.  A LOT, BRYAN LITEST ENGINEERCLASSIC COMPONENTS CORPBRLI@CLASS-IC.COMTEL: 310-539-5500 EXT 1225 LABVIEW  OTHER"
CAN,CAN,I AM TRYING TO COLLECT DATA OVER TIME WITH SPI OR I2C INTERFACE SUING NI TOOL. ALSO WOULD LIKE TO KNOW IF I CAN AUTO PROGRAM WITHIN LABVIEW TO GENERATE ALLAN VARIANCE PLOTS. PLEASE EMAIL ME AT SLAL@LORAINCCC.EDU OR REACH ME AT PH AT 4403664208. EASTERN. TIME N REGARDSSWEATA4403664208. LABVIEW  MULTIFUNCTION DAQ (AND NI ELVIS)
CAN,CAN,"I'M HAVING AN ISSUE COMMUNICATING ON A SWCAN NETWORK ON A PXI-8513/2 CARD.  I HAVE 12V  GOING TO PIN 9 (B+) AND PIN 6 (DCCOM).  I HAVE THE GMLAN SWCAN WIRE FROM MY PART GOING TO PIN 7.  USING BOTH X-NET VIS AND BUS MONITOR IN MAX, I CANNOT GET ANY MESSAGES TO TRANSMIT ON THE BUS.  I GET AN ERROR IN BUS MONITOR AND A TIMEOUT OF MY WRITE VI IN MY CODE.  I'VE VERIFIED THAT I'M GETTING POWER TO THE PART AND THE 8513, AND THAT MY CONNECTION IS GOOD BETWEEN MY PART AND PIN 7 ON THE FIRST PORT OF THE 8513.  I HAVE A SIMILAR SETUP WITH 2 LIN CHANNELS USING A 8516 AND HAVE HAD NO ISSUES (POWER ON PINS 9 AND 6, LIN CONNECTED FROM THE PART TO PIN 7).  I'VE CREATED A LOOPBACK CABLE BETWEEN THE TWO CAN PORTS AND CONFIRMED VALID COMMUNICATION FROM ONE TO THE OTHER USING THE SWCAN PROTOCOL.  I'VE ALSO JUMPERED B+, DCCOM, AND SWCAN FROM A INTREPIDCS NEOVI FIRE THAT IS COMMUNICATING WITH A SIMILAR PART TO THE FIRST PORT ON THE 8513/2, AND HAVE CONFIRMED THAT I CAN SEE ALL MESSAGES BEING SENT TO AND FROM THE PART WHEN USING LISTEN ONLY MODE IN BUS MONITOR IN MAX.  I'M NOT SURE WHAT IS WRONG WITH MY SETUP IN BUS MONITOR OR THE XNET VIS.  IN BUS MONITOR, I HAVE A BAUD RATE OF 33.333KBPS, NORMAL MODE, SWCAN PROTOCOL, TERMINATION ON (I'VE TRIED OFF AS WELL), ID OF 246, AND A PAYLOAD OF 2 BYTES (01 3E). IS THERE ANY SPECIAL TRICK TO SENDING AND RECEIVING SWCAN MESSAGES ON THE SAME PORT WITH XNET?  FOR THE HELP. DEREK PLANK LABVIEW  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"I NEED TO KNOW WHAT THE DRIVE CAPABILITY OF THE SPI INTERFACE IS ON THE USB-8451/8452. SPECIFICALLY THE SCLK AND MOSI OUTPUTS. THE DOCUMENTS I HAVE REVIEWED FROM NI (USB-8451 OEM SPECIFICATION, USB-8451 HARDWARE AND SOFTWARE MANUAL) ONLY SPECIFY THE OUTPUT LEVELS RELATIVE TO A SOURCE OR SINK CURRENT VALUE. WHAT I NEED TO KNOW IS THE AMOUNT OF LOAD THESE OUPTUTS CAN DRIVE. FOR INSTANCE, I NEED TO FAN OUT THE SCLK AND MOSI TO 5 DIFFERENT SPI SLAVE DEVICES ON A BOARD I AM DESIGNING. EACH SLAVE DEVICE WILL HAVE A DEDICATED CS (SO CS FANOUT=1). BUT THE SCLK AND MOSI ARE COMMON TO ALL - SO THE FANOUT IS 5. WILL THE USB-8451 BE ABLE TO DRIVE THIS LOAD. I PROBABLY NEED A MAX LOAD CAPACITANCE VALUE THAT THE USB-854X CAN DRIVE, IF YOU HAVE ONE. THEN LINE THAT UP WITH THE TOTAL OF THE INPUT LOADS OF THE SLAVE DEVICES AND BOARD PARASITCS. HAS ANYONE ACTUALLY USED AN 845X CONNECTED TO 8 SLAVES (THERE ARE 8 SEPARATE CS LINES IMPLYING 8 SLAVES). ! P.S.: YOU NEED TO ADD USB-8451/8452 TO THE CHOICES UNDER 'HARDWARE DETAILS' OF THE SUBMISSION FORM. NONE  DIGITAL INPUT/OUTPUT"
CAN,CAN,"DESCRIPTION: I HAVE DEVELOPED A FIRST USE (FOR DELPHI) IMPLEMENTATION OF THE USB-8476 USING THE ""LINSLAVERESPONDANDRECEIVE.VBP"" EXAMPLE FROM NI AS A BASELINE.  THE LIN SOFTWWARE WAS DEVELOPED AS A STANDALONE PROJECT THEN INTEGRATED INTO OUR ""LEADOFF TESTER"" APPLICATION WHICH UTILIZES NI VISION, VECTOR CAN CARD, THE USB-8476, MICROSCAN SCANNER, AND ADVANTECH I/O DRIVERS IN AN INDUSTRIAL PC. I NEVER SAW A PROBLEM ON MY LAPTOP DURING DEVELOPMENT OF THE SOFTWARE.  HOWEVER, AFTER INTEGRATING INTO THE LEADOFF TESTER SOFTWARE, WE STARTED TO GET AN ERROR WHERE THE DRIVER FAILS TO OPEN.     STATUS = NCOPENOBJECT(INTERFACE, LINTXRX)  IF (CHECKSTATUS(STATUS, ""NCOPEN "" &AMP; INTERFACE) = TRUE) THEN GOTO ERROR STATUS=0XB2E70002AND THE CHECKSTATUS FUNCTION DECODES THIS ERROR TO:""NI-CAN:  (HEX 0XBFF62002) AN INTERNAL ERROR OCCURRED IN THE NI-CAN DRIVER.  A DESCRIPTION IS LOCATED IN THE FILE NICANERR.TXT IN YOUR ..\NI-CAN\BIN FOLDER (TYPICALLY LOCATED AT C:\PROGRAM FILES\NATIONAL INSTRUMENTS\..).  SOLUTION:  EMAIL OR FAX THE NICANERR.TXT FILE TO NATIONAL INSTRUMENTS FOR TECHNICAL SUPPORT.""STEPS TO REPRODUCE: THIS FAILURE OCCURED ONE TIME IN AUBURN HILLS DURING EQUIPMENT DEBUG THEN 2 TIMES IN REYNOSA, MEXICO AFTER EQUIPMENT INSTALLATION.  SO IT IS INFREQUENT BUT IT IS INEVITABLE TO REOCCUR.  WHEN THE FAIL OCCURS THE ONLY KNOWN SOLUTION IS A COMPLETE REBOOT OF THE PC.  EXITING THE VB PROJECT COMPLETELY DOES NOT CORRECT THE PROBLEM AND THE OBJECT REMAINS LOCKED UP WHEN THE PROJECT IS RESTARTED.   SO FAR THERE IS NO METHOD TO REPRODUCE THE PROBLEM ALTHOUGH IT SEEMS TO ONLY OCCUR ON THE FIRST TEST CYCLE EVEN THOUGH THE OBJECT IS OPENNED AND CLOSED FOR EVERY TEST CYCLE.  THE TESTER HAS NOW RUN FOR 2 DAYS WITH NO ISSUES BUT ALSO NO REBOOTS.WORKAROUND: WORKAROUND IS A FULL REBOOT OF THE PC UPON LOCKUP. ATTACHED IS THE ERROR LOG FILE ""NICANERR(REYNOSAPVBUILD).TXT"" THAT THE ERROR MSG RECOMMENDED BE SENT TO NI AND THE VB PROJECT.#1) HAVE YOU SEEN THIS ERROR AND CAN NI RECOMMEND SO VISUAL BASIC  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,LVDSC,IS OR WILL THERE BE A VERSION OF THE NI CANOPEN TOOLKIT THAT SUPPORTS LABVIEW 2011?  I CURRENTLY OWN CANOPEN 1.1.4 WHICH I USE WITH LABVIEW 2009 SP1.  I NEED TO UPGRADE MY APPLICATION WHICH RUNS ON A PXI REAL-TIME CONTROLLER TO 2011.  WILL 1.1.4 WORK WITH LABVIEW 2011 IF I COPY THE VI FILES FROM MY LABVIEW 2009 INSTALLATION? LABVIEW  
CAN,CAN,"WE ARE TRYING TO DO DATA ACQUISITION OFF OF VEHICLES USING NATIONAL INSTRUMENTS HARDWARE THROUGH A CAN BUS CONNECTED TO THE OBD PORT. THE PROGRAM WE'RE USING IS LABVIEW AND MOST OF THE CODE IS WRITTEN, WE'RE WORKING ON LOGGING MORE PARAMETERS NOW BUT EVERYTIME WE RUN IT WE KEEP GETTING AN 8260 ERROR THAT SAYS: DIAGNOSTIC COMMAND TIMEOUT. A RESPONSE FROM ECU WAS NOT RECEIVED. I'VE ATTACHED A SCREENSHOT OF THE ERROR. WHEN I LOOKED IT UP ONLINE I CAME ACROSS THIS FORUM HTTP://FORUMS.NI.COM/T5/AUTOMOTIVE-AND-EMBEDDED-NETWORKS/ERROR-8260-OCCURRED-AT-ISOTP-RECEIVE-VI/TD-P/922556 AND ONE OF THE RESPONSES WAS: I FOUND THE PROBLEM. BY DEFAULT, ADCS DO NOT SEND 8 BYTES OF DATA. I MEAN, IT DOES NOT APPEND 0 TO FILL THE FRAME. WE NEED TO SET THE GLOBAL FILL CAN FRAMES TO TRUE. IT CAN BE DONE USING DIAG SET PROPERTY. SO DOES THAT MEAN THAT WE NEED A NEW VI TO ADD INTO THE CODE? I ALSO LOOKED UP THE CAN BUS MANUAL WHERE IT TALKS ABOUT THE VI, BUT I DON'T KNOW HOW TO ATTAIN IT OR WHERE I WOULD ADD IT INTO THE CODE. IF YOU CAN HELP US A LITTLE IT WOULD BE MUCH APPRECIATED. . LABVIEW  "
CAN,CAN,"HELLO I HAVE A USB-8473S.  I WOULD LIKE TO USE THE FRAME API'S WITH IT.  THESE SHOW UP IN THE MEASUREMENT I/O PALETTE ON ANOTHER PC THAT I AM USING BUT DO NOT SHOW UP ON MY LAB PC.   HOW CAN I GET THESE INSTALLED.  I ATTEMPTED TO DOWNLOAD AND EXTRACT THE NI CAN SOFTWARE.  I GOT AN ERROR MESSAGE SAYING ""CANNOT CREATE FILE"" AFTER THE INSTALLATION APPEARED TO COMPLETE. PLEASE PROVIDE AS MUCH DETAIL AS POSSIBLE.   , JACKJACK.D.JOHNSON@DELPHI.COM LABVIEW  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"DESCRIPTION: NI-XNET STATUS: HEX 0XBFF63001. AN INTERNAL ERROR OCCURS AT NI-XET DRIVER. SOMETIMES I GET THIS ERROR WHILE USING NI-PXI-8513 WITH PXIE 1078 CHASSIS.STEPS TO REPRODUCE: WORKAROUND: RUNNING MY CODE AFTER A MINUTE FIXES THE PROBLEM VISUAL C++  CAN, FLEXRAY, LIN AND I2C/SPI"
CAN,CAN,"I'M CURRENTLY DEVELOPING A SYSTEM WHERE ONE DEVICE IS THE PXI-8512/2.   I AM NOT DEVELOPING ON THE TARGET SYSTEM, AND AM ABLE TO SIMULATE ALL COMPONENTS IN NIMAX EXCEPT THE XNET CAN CARD...THERE IS NO OPTION FOR IT.  THE XNET DRIVERS ARE INSTALLED, AND THE LIBRARIES APPEAR IN LABVIEW.   IS IT POSSIBLE THAT THE DRIVERS DID NOT COMPLETELY INSTALL SINCE THERES NO HARDWARE?  CAN THE 9512 BE SIMULATED IN NIMAX? LABVIEW FULL DEVELOPMENT SYSTEM VERSION 2013 CAN DEVICE NI-XNET PXI CAN"
CAN,CAN,"1.       CAN USB-8452 SPI ADAPTOR SEND OUT THE DATA TO ALL SLAVE MODULES (8 OF THEM) SIMULTANEOUSLY OR JUST ONE AT A TIME? 2.       IF IT CAN SEND OUT THE DATA TO ALL THE SLAVE ADDRESSES AT THE SAME TIME, WHAT WILL BE ITS SPI BYTE THROUGHPUT LIMIT? 3.       WHAT DOES TRANSFER SIZE . 4 TO 64 BITS IN THE SPECS MEAN? DOES IT MEAN THE MAXIMUM TRANSFER SIZE IS ONLY 8 BYTES PER TRANSACTION? 4.       WHEN USED WITH A MAXIMUM CLOCK RATE (50 MHZ) AND MAXIMUM TRANSFER SIZE, HOW CAN I CALCULATE THE TOTAL TRANSACTION TIME? . REALLY APPRECIATE YOUR TIME AND HELP. WAI PHYORF ENGINEERTCI/SPXWAI.PHYO@SPX.COM(510) 687 6241 LABVIEW MATHSCRIPT RT MODULE VERSION 2013 SERIAL DEVICE USB-485/2"
CAN,CAN,TEST SETUP WITH NI USB 8476S ACTING AS LIN MASTER AND OUR PRODUCT AS A SLAVE. GETTING A LIN BUS ERROR 8400010600003D WHEN TRYING TO REQUEST INFORMATION FROM SLAVE THROUGH A DIAGNOSTICE LIN FRAME. LABVIEW FULL DEVELOPMENT SYSTEM VERSION 2011 CAN DEVICE USB-LIN
CAN,CAN,"I NEED TO SET MY BAUD RATE AND MESSGE TYPE TO 83.33333K AND EXTENDED. HOW DO I DO THAT? , LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2011 CAN DEVICE NI 9861"
CAN,CAN,"CHAPTER 4 OF NI-XNET HARDWARE AND SOFTWARE MANUAL SAYS ""OPEN A NEW LABVIEW PROJECT, RIGHT-CLICK MY COMPUTER, AND SELECTNEW»NI-XNET SESSION"" I CAN'T FIND THE FOLDER NEW OR FILE NI-XNET SESSION.THERE IS NO ""MY COMPUTER"" IN LABVIEW. LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2013 "
CAN,CAN,IS THERE A LIMIT ON THE NUMBER OF NI 9862 MODULES THAT CAN BE USED IN A USB OR ETHERNET CDAQ CHASSIS? LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2013 CAN DEVICE NI 9862
CAN,CAN,"I RECENTLY PURCHASED A NI USB-9862.  I TRIED TO CONFIGURE THE HARDWARE IN MAX, BUT WHEN I OPEN THE TREE FOR THE NI 9862 (DEVICES &AMP; INTERFACES &GT; NI CDAQ-9171 &GT; ), THE MODULE SHOWS UP AS ""1: NI CDAQ UNSUPPORTED MODULE ""CDAQ1MOD1"""" (SEE SCREENSHOT ATTACHED).  I CURRENTLY HAVE THE LABVIEW PROFESIONAL DEVELOPMENT SYSTEM 2013 AUGUST, AND HAD RELEVENT DRIVERS DAQMX DRIVER 9.7.5 AND XNET 1.8 PREVIOUSLY INSTALLED.  I SAW ON THE XNET README THAT HAVING DAQMX DRIVER INSTALLED OF A VERSION PRIOR TO THE 9.7.5 CAN CAUSE THIS ISSUE, HOWEVER I HAD DAQMX 9.7.5 INSTALLED PRIOR TO CONNECTING THE USB-9862.  I THEN INSTALLED DAQMX 9.8.0 (FROM THE NI WEB SITE) AND PERFORMED SOFTWARE UPDATES USING THE UPDATE SERVICE, BUT THE MODULE IS STILL SHOWING UP AS UNSUPPORTED IN MAX.  I AM UNABLE TO ACCESS THE CAN INTERFACE IN THE XNET BUS MONITOR, OR MY LABVIEW PROGRAM. I ALSO TRIED CONNECTING THE 9862 TO EXTERNAL POWER VIA 24V POWER SUPPLY TO PINS 9 (VSUP) AND 6 (OPT COM), BUT THAT DID NOT CHANGE THE STATUS IN MAX. OTHER CAN DEVICE NI 9862"
CAN,CAN,"I AM BEGINNING A CAN APPLICATION WITH THE TUTORIALS IN THE HELP SYSTEM AND ON NI.COM. I USED MAX TO IDENTIFY THE NI-9862 CAN MODULE THAT IS PLUGGED IN TO THE CRIO 9068. THE LEDS ON THE MODULE WERE BLINKING. MAX WORKED AND I COULD SELECT SOME CAN OPTIONS FROM THE MODULE PROPERTIES. I THEN BUILT A SAMPLE APP FROM THE GETTING STARTED WITH NI-XNET DOCUMENT BUT THE PROJECT DIDN'T FIND THE MODULE. WHEN I RETURNED TO MAX, THE CAN INTERFACE WAS GONE. I RESET THE MAX CONFIG, STILL GONE. I FORMATTED THE CRIO, RE-APPLIED THE SOFTWARE INCLUDING XNET. STILL GONE. I DIDN'T CONNECT ANYTHING TO THE MODULE'S CONNECTOR. HOW DO I GET THE 9862 TO WAKE UP AGAIN? DAVE LABVIEW FULL DEVELOPMENT SYSTEM VERSION 2013 COMPACTRIO DEVICE CRIO-9068"
CAN,RIO,WE ARE FROM MICHIGAN TECH UNIVERSITY. WE ARE CURRENTLY WORKING WITH NI CRIO SYSTEM 9024 AND CAN MODULE 9853. WE ARE TRYING TO ESTABLISH A COMMUNICATION BETWEEN CANALYZER AND MODULE AND DISPLAY RESULT IN A VI. WE ARE NOT ABLE TO IDENTIFY HOW TO CONVERT THE DATA AND DISPLAY IT. LABVIEW FPGA MODULE VERSION 2012 SP1 COMPACTRIO DEVICE CRIO-9024
